,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),-7.507552,1.499630,-5.006270,5.55E-07
live_coral_z,0.435774,0.053018,8.219366,2.05E-16
invertebrate_z,0.338447,0.032674,10.358217,3.84E-25
depth_to_benthos_z,-0.797514,0.264700,-3.012895,0.002587682
percent_N_jan_z,-15.584658,3.316619,-4.698959,2.61E-06
percent_N_aug_z,-14.863914,3.330892,-4.462443,8.10E-06
may_d15_z,-35.550552,7.645786,-4.649692,3.32E-06
aug_d15_z,16.729943,3.896996,4.293035,1.76E-05
NHW_speed_z,-52.589101,11.555508,-4.550999,5.34E-06
NLW_speed_z,25.666431,5.871990,4.370994,1.24E-05
